Date,ISPO
"Jan 04, 2024",3.8000
"Jan 03, 2024",3.6600
"Jan 02, 2024",3.8600
"Dec 29, 2023",3.6800
"Dec 28, 2023",3.7350
"Dec 27, 2023",3.7800
"Dec 26, 2023",3.9000
"Dec 22, 2023",3.8400
"Dec 21, 2023",3.8000
"Dec 20, 2023",3.9900
"Dec 19, 2023",3.8300
"Dec 18, 2023",3.9050
"Dec 15, 2023",3.8500
"Dec 14, 2023",3.9320
"Dec 13, 2023",3.9600
"Dec 12, 2023",3.8600
"Dec 11, 2023",4.0900
"Dec 08, 2023",4.1700
"Dec 07, 2023",3.9640
"Dec 06, 2023",4.0700
"Dec 05, 2023",4.0000
"Dec 04, 2023",4.1000
"Dec 01, 2023",4.2800
"Nov 30, 2023",4.1350
"Nov 29, 2023",4.2000
"Nov 28, 2023",4.4640
"Nov 27, 2023",4.6000
"Nov 24, 2023",4.7100
"Nov 22, 2023",4.5100
"Nov 21, 2023",4.7800
"Nov 20, 2023",4.4300
"Nov 17, 2023",4.0000
"Nov 16, 2023",3.8400
"Nov 15, 2023",3.8400
"Nov 14, 2023",3.7500
"Nov 13, 2023",3.8750
"Nov 10, 2023",3.9200
"Nov 09, 2023",3.6500
"Nov 08, 2023",3.8000
"Nov 07, 2023",4.2400
"Nov 06, 2023",4.6100
"Nov 03, 2023",4.7400
"Nov 02, 2023",4.2600
"Nov 01, 2023",4.4500
"Oct 31, 2023",4.3800
"Oct 30, 2023",4.1400
"Oct 27, 2023",3.8200
"Oct 26, 2023",3.9100
"Oct 25, 2023",3.9100
"Oct 24, 2023",4.0500
"Oct 23, 2023",4.0650
"Oct 20, 2023",3.8200
"Oct 19, 2023",3.8000
"Oct 18, 2023",4.3000
"Oct 17, 2023",4.8400
"Oct 16, 2023",4.9200
"Oct 13, 2023",7.0000
"Oct 12, 2023",7.4800
"Oct 11, 2023",7.3400
"Oct 10, 2023",7.4000
"Oct 09, 2023",8.5000
"Oct 06, 2023",8.6000
"Oct 05, 2023",9.6000
"Oct 04, 2023",12.4800
"Oct 03, 2023",10.8000
"Oct 02, 2023",11.6600
"Sep 29, 2023",11.8000
"Sep 28, 2023",12.2000
"Sep 27, 2023",11.6600
"Sep 26, 2023",12.2000
"Sep 25, 2023",12.0000
"Sep 22, 2023",11.9800
"Sep 21, 2023",12.3800
"Sep 20, 2023",12.8000
"Sep 19, 2023",12.8000
"Sep 18, 2023",12.5400
"Sep 15, 2023",12.5600
"Sep 14, 2023",13.3800
"Sep 13, 2023",13.1800
"Sep 12, 2023",13.4600
"Sep 11, 2023",13.4000
"Sep 08, 2023",14.0000
"Sep 07, 2023",14.8000
"Sep 06, 2023",15.2800
"Sep 05, 2023",15.2600
"Sep 01, 2023",16.2000
"Aug 31, 2023",15.8000
"Aug 30, 2023",15.2200
"Aug 29, 2023",14.7600
"Aug 28, 2023",14.4000
"Aug 25, 2023",15.0000
"Aug 24, 2023",14.6600
"Aug 23, 2023",14.8000
"Aug 22, 2023",14.8400
"Aug 21, 2023",14.8000
"Aug 18, 2023",15.4800
"Aug 17, 2023",15.6200
"Aug 16, 2023",16.0000
"Aug 15, 2023",16.8000
"Jan 04, 2024",3.8000
"Jan 03, 2024",3.6600
"Jan 02, 2024",3.8600
"Dec 29, 2023",3.6800
"Dec 28, 2023",3.7350
"Dec 27, 2023",3.7800
"Dec 26, 2023",3.9000
"Dec 22, 2023",3.8400
"Dec 21, 2023",3.8000
"Dec 20, 2023",3.9900
"Dec 19, 2023",3.8300
"Dec 18, 2023",3.9050
"Dec 15, 2023",3.8500
"Dec 14, 2023",3.9320
"Dec 13, 2023",3.9600
"Dec 12, 2023",3.8600
"Dec 11, 2023",4.0900
"Dec 08, 2023",4.1700
"Dec 07, 2023",3.9640
"Dec 06, 2023",4.0700
"Dec 05, 2023",4.0000
"Dec 04, 2023",4.1000
"Dec 01, 2023",4.2800
"Nov 30, 2023",4.1350
"Nov 29, 2023",4.2000
"Nov 28, 2023",4.4640
"Nov 27, 2023",4.6000
"Nov 24, 2023",4.7100
"Nov 22, 2023",4.5100
"Nov 21, 2023",4.7800
"Nov 20, 2023",4.4300
"Nov 17, 2023",4.0000
"Nov 16, 2023",3.8400
"Nov 15, 2023",3.8400
"Nov 14, 2023",3.7500
"Nov 13, 2023",3.8750
"Nov 10, 2023",3.9200
"Nov 09, 2023",3.6500
"Nov 08, 2023",3.8000
"Nov 07, 2023",4.2400
"Nov 06, 2023",4.6100
"Nov 03, 2023",4.7400
"Nov 02, 2023",4.2600
"Nov 01, 2023",4.4500
"Oct 31, 2023",4.3800
"Oct 30, 2023",4.1400
"Oct 27, 2023",3.8200
"Oct 26, 2023",3.9100
"Oct 25, 2023",3.9100
"Oct 24, 2023",4.0500
"Oct 23, 2023",4.0650
"Oct 20, 2023",3.8200
"Oct 19, 2023",3.8000
"Oct 18, 2023",4.3000
"Oct 17, 2023",4.8400
"Oct 16, 2023",4.9200
"Oct 13, 2023",7.0000
"Oct 12, 2023",7.4800
"Oct 11, 2023",7.3400
"Oct 10, 2023",7.4000
"Oct 09, 2023",8.5000
"Oct 06, 2023",8.6000
"Oct 05, 2023",9.6000
"Oct 04, 2023",12.4800
"Oct 03, 2023",10.8000
"Oct 02, 2023",11.6600
"Sep 29, 2023",11.8000
"Sep 28, 2023",12.2000
"Sep 27, 2023",11.6600
"Sep 26, 2023",12.2000
"Sep 25, 2023",12.0000
"Sep 22, 2023",11.9800
"Sep 21, 2023",12.3800
"Sep 20, 2023",12.8000
"Sep 19, 2023",12.8000
